PassengerId,Transported
0013_01,0.6018899672854341
0018_01,0.023706885555679853
0019_01,0.980489251456959
0021_01,0.970400997656868
0023_01,0.6455426485971717
0027_01,0.4516743344112845
0029_01,0.9736756454509929
0032_01,0.983185877256293
0032_02,0.972022639652792
0033_01,0.6130131900939348
0037_01,0.13127321818552867
0040_01,0.08142738048351224
0040_02,0.3267097650854399
0042_01,0.6420282619049502
0046_01,0.03464230471477489
0046_02,0.09583659407680135
0046_03,0.1223577757524232
0047_01,0.9893070639229551
0047_02,0.9105206360183479
0047_03,0.049860916107233984
0048_01,0.6495805572326221
0049_01,0.04649170713060064
0054_01,0.9684958200253158
0054_02,0.9160129829986198
0054_03,0.33232998750763665
0055_01,0.15645455163234465
0057_01,0.9510342709960743
0059_01,0.5832306571777892
0060_01,0.5507296365857993
0063_01,0.6023792643080177
0065_01,0.5916061206602627
0075_01,0.17039065523770935
0079_01,0.5535408736102562
0080_01,0.4036629770142644
0083_01,0.12653961407756345
0087_01,0.26673817591026594
0089_01,0.9247167071751367
0093_01,0.5641986332270847
0094_01,0.39680592449638097
0094_02,0.0977556411705791
0095_01,0.747362787802222
0096_01,0.3764002852874844
0100_01,0.7036351446713931
0100_02,0.57768164017883
0104_01,0.0965535498180798
0106_01,0.731836656871104
0109_01,0.098571614409566
0117_01,0.2441703775199988
0118_01,0.5768419923263727
0121_01,0.054473526525911045
0124_01,0.5107136423993519
0125_01,0.9785565929830402
0125_02,0.23967260937149226
0130_01,0.48184217665666224
0131_01,0.4164106779217453
0132_01,0.9636462316395519
0135_01,0.1542015944750967
0137_01,0.540552297655783
0142_01,0.9498926378484451
0142_02,0.1159692171580982
0142_03,0.8748293593637174
0143_01,0.38120683222583485
0145_01,0.1462739321717121
0150_01,0.9580014355954198
0150_02,0.9835248870398661
0153_01,0.2273945787956806
0154_01,0.5720469008561351
0155_01,0.05315405867732704
0156_01,0.46259398080498676
0157_01,0.06447887300114297
0158_01,0.36962990898231046
0158_02,0.5525795802811674
0159_01,0.13722903839280642
0161_01,0.08286775239999963
0162_01,0.9295340015498269
0166_01,0.653445265583769
0168_01,0.9876071223455689
0175_01,0.6387723367838176
