Id,SalePrice
1461,126408.45266106757
1462,171203.6162736045
1463,191356.4058965298
1464,188895.65311150975
1465,187479.72731598467
1466,175080.44528188952
1467,174160.7774700123
1468,166914.52990341204
1469,181144.65057229757
1470,133927.0293422196
1471,207981.5289195723
1472,106980.20993385429
1473,103212.69317285977
1474,151891.54966350723
1475,130116.32612484533
1476,400295.4374317068
1477,252194.39339418252
1478,293296.5425341531
1479,292646.3515999364
1480,457711.26621210953
1481,322319.9931033106
1482,212251.96426019445
1483,176775.81073160446
1484,171492.1403503917
1485,184977.3062724944
1486,199144.28537248552
1487,343026.3770683197
1488,237684.13304631005
1489,209671.6469325141
1490,208226.95876894373
1491,195369.67023923446
1492,91588.04119088135
1493,186210.16028732713
1494,292180.9953674162
1495,289616.56575936126
1496,234011.02858974598
1497,182067.51840748597
1498,168702.03164398824
1499,161077.9548060207
1500,158139.03906998035
1501,175822.9016607012
1502,157097.63398934127
1503,291781.0425250374
1504,245385.6272810168
1505,222411.49312645145
1506,192965.3436881829
1507,231805.6495264828
1508,205750.43861404835
1509,165398.92907931728
1510,151442.85556142597
1511,151033.19140984226
1512,178240.83113436776
1513,144952.66204000288
1514,157883.42850570433
1515,192032.08780249115
1516,157964.4263000465
1517,168586.41573467606
1518,146907.30255207056
1519,219116.91806774662
1520,143013.31239548285
1521,141837.11909712254
1522,169727.9993599886
1523,114111.33007900533
1524,120803.16935618978
1525,124281.50699659412
1526,121076.35091592552
1527,109709.97405576179
1528,130924.48521823328
1529,151035.3676273039
1530,174446.34206453775
1531,120815.25949205455
1532,103232.05837205512
1533,160786.85840154567
1534,128078.06803877151
1535,153645.7771377236
1536,110132.09099223251
1537,71734.40509062728
1538,158180.2343336231
1539,213908.68760368117
1540,111062.1748954504
1541,144416.0081172047
1542,142816.91138650506
1543,216927.38592939306
1544,88818.04317870678
1545,111764.66064588446
1546,139166.75140501012
1547,146324.16326830332
1548,138648.09519278473
1549,117579.72932396579
1550,141881.55142171943
1551,121604.33085971772
1552,145104.60908514544
1553,153986.7512960347
1554,109679.67151583315
1555,179518.59432689226
1556,102821.1102194279
1557,113835.0372921577
1558,104467.23156639597
1559,92705.20115150242
1560,141075.74796571722
1561,146915.4588318491
1562,134775.2117585233
1563,123281.56486093967
1564,171221.94939835148
1565,151346.8299469953
1566,243986.21700053022
1567,78948.19459331613
1568,232713.6545460379
1569,155499.84849809363
1570,143649.1900931569
1571,129318.37722480565
1572,154073.1347421314
1573,260632.30588949446
1574,122454.60379934325
1575,218861.83975091972
1576,227285.24408075213
1577,196857.85083017638
1578,151976.4521289217
1579,149199.85378768883
1580,201587.23222787262
1581,164371.60717110967
1582,132352.08384000088
1583,314435.19249571126
1584,221849.66551479674
1585,144686.15068334184
1586,81135.39360698235
1587,96665.27570122253
1588,153498.74397523017
1589,104378.53788064975
1590,141753.7857581062
1591,99578.37654222224
1592,123983.79408427072
1593,132537.8729560111
1594,149928.29076014203
1595,118888.58441891591
1596,244304.9695507197
1597,202951.17810013724
1598,208735.60381533828
1599,189170.3803738677
1600,176464.67675836183
1601,76938.12385269949
1602,125749.91040347723
1603,79909.9788666684
1604,273102.2736942415
1605,254212.50937820415
1606,167969.78852756147
1607,184779.50978652868
1608,215937.6675927079
1609,200860.84648019422
1610,157019.24534485853
1611,139659.0728464783
1612,174148.63331155354
1613,166819.0301358247
1614,131957.60564799426
1615,94142.50190948253
1616,73118.89699817635
1617,93272.17599251347
1618,124739.24276653817
1619,146442.07257857535
1620,173425.75349075824
1621,135080.55394084367
1622,144321.6179928241
1623,290648.69342012063
1624,209513.96806041102
1625,129999.72670406316
1626,166319.437907869
1627,190217.30360634055
1628,275762.4888280999
1629,182747.67567144905
1630,366550.5020136885
1631,223567.07605832926
1632,248525.72768034352
1633,177552.29893771955
1634,183523.371479205
1635,175777.22917151346
1636,154955.91953584374
1637,208897.35570533396
1638,204298.20522558596
1639,183779.32907638865
1640,253327.4868998357
1641,179153.89868277378
1642,235629.7319217646
1643,231127.58106171526
1644,236287.9288854869
1645,206652.26414855715
1646,166275.00279153945
1647,160420.6694172751
1648,137575.50616902206
1649,143754.46718453994
1650,119825.70873303937
1651,129120.09815643172
1652,105293.93000297356
1653,107380.28792841993
1654,148592.00241988932
1655,155743.10933912796
1656,147778.32036390126
1657,145601.86906338474
1658,151599.4561262093
1659,137539.31410287746
1660,160234.26747044772
1661,428712.6830764662
1662,377713.9267382516
1663,371687.64788343053
1664,435118.80607579544
1665,309498.31020166096
1666,322820.062979884
1667,358725.16501324973
1668,329217.4059738815
1669,282394.04671530623
1670,349304.2686980869
1671,250356.75871184558
1672,428872.5781242398
1673,289092.33568083367
1674,243676.99743423273
1675,187114.3724238653
1676,190532.1724172343
1677,215110.40670565807
1678,464151.23995638045
1679,362278.6027205468
1680,332483.3144201613
1681,261673.22395386256
1682,293362.61203480116
1683,184940.8172545612
1684,171988.94274291795
1685,171797.70762683684
1686,170565.78841055758
1687,172824.44952109057
1688,194263.63662508485
1689,195052.388581792
1690,196467.62971482
1691,185783.81407210382
1692,267208.5751747773
1693,170201.24488906877
1694,183080.98248670466
1695,166073.7921658016
1696,265476.4153767008
1697,176706.84708183922
1698,346977.0309208278
1699,313841.32349132164
1700,243238.60179535893
1701,259630.19441096054
1702,249570.28415428122
1703,250941.5945812628
1704,281450.0473307269
1705,240242.44847727084
1706,442568.1696615501
1707,227430.96017965412
1708,210085.87831113295
1709,269650.234655508
